9609,Other personal service activities n.e.c.,960,Other personal service activities,96,Other personal service activities,S,Other service activities
9609,Other personal service activities n.e.c.,960,Other personal service activities,96,Refuse workers and other elementary workers,9,Elementary occupations
4311,Accounting and bookkeeping clerks,431,Numerical clerks,43,Specialized construction activities,F,Construction
4311,Accounting and bookkeeping clerks,431,Numerical clerks,43,Numerical and material recording clerks,4,Clerical support workers
4311,Accounting and bookkeeping clerks,431,Demolition and site preparation,43,Specialized construction activities,F,Construction
4311,Accounting and bookkeeping clerks,431,Demolition and site preparation,43,Numerical and material recording clerks,4,Clerical support workers
2655,Actors,265,Creative and performing artists,26,"Legal, social and cultural professionals",2,Machines
2655,Actors,265,Creative and performing artists,26,"Legal, social and cultural professionals",2,Professionals
2655,Actors,265,Creative and performing artists,26,"Manufacture of computer, electronic and optical products",C,Manufacturing
2655,Actors,265,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",26,"Legal, social and cultural professionals",2,Machines
2655,Actors,265,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",26,"Legal, social and cultural professionals",2,Professionals
2655,Actors,265,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",26,"Manufacture of computer, electronic and optical products",C,Manufacturing
3343,Administrative and executive secretaries,334,Administrative and specialised secretaries,33,Business and administration associate professionals,3,Equipment
3343,Administrative and executive secretaries,334,Administrative and specialised secretaries,33,Business and administration associate professionals,3,Technicians and associate professionals
3343,Administrative and executive secretaries,334,Administrative and specialised secretaries,33,Repair and installation of machinery and equipment,C,Manufacturing
3343,Administrative and executive secretaries,334,Administrative and specialised secretaries,33,Equipment for work with electricity,3,Equipment
3343,Administrative and executive secretaries,334,Administrative and specialised secretaries,33,Equipment for work with electricity,3,Technicians and associate professionals
2431,Advertising and marketing professionals,243,"Sales, marketing and public relations professionals",24,Manufacture of basic metals,C,Manufacturing
2431,Advertising and marketing professionals,243,"Sales, marketing and public relations professionals",24,Business and administration professionals,2,Machines
2431,Advertising and marketing professionals,243,"Sales, marketing and public relations professionals",24,Business and administration professionals,2,Professionals
2431,Advertising and marketing professionals,243,Casting of metals,24,Manufacture of basic metals,C,Manufacturing
2431,Advertising and marketing professionals,243,Casting of metals,24,Business and administration professionals,2,Machines
2431,Advertising and marketing professionals,243,Casting of metals,24,Business and administration professionals,2,Professionals
1222,Advertising and public relations managers,122,"Drilling, hammer drilling",12,Manufacture of tobacco products,C,Manufacturing
1222,Advertising and public relations managers,122,"Drilling, hammer drilling",12,Power-driven tools used for …,1,Managers
1222,Advertising and public relations managers,122,"Drilling, hammer drilling",12,Power-driven tools used for …,1,Tools
1222,Advertising and public relations managers,122,"Drilling, hammer drilling",12,Administrative and commercial managers,1,Managers
1222,Advertising and public relations managers,122,"Drilling, hammer drilling",12,Administrative and commercial managers,1,Tools
1222,Advertising and public relations managers,122,"Sales, marketing and development managers",12,Manufacture of tobacco products,C,Manufacturing
1222,Advertising and public relations managers,122,"Sales, marketing and development managers",12,Power-driven tools used for …,1,Managers
1222,Advertising and public relations managers,122,"Sales, marketing and development managers",12,Power-driven tools used for …,1,Tools
1222,Advertising and public relations managers,122,"Sales, marketing and development managers",12,Administrative and commercial managers,1,Managers
1222,Advertising and public relations managers,122,"Sales, marketing and development managers",12,Administrative and commercial managers,1,Tools
1343,Aged care services managers,134,Professional services managers,13,Manufacture of textiles,C,Manufacturing
1343,Aged care services managers,134,Professional services managers,13,Production and specialised services managers,1,Managers
1343,Aged care services managers,134,Professional services managers,13,Production and specialised services managers,1,Tools
3142,Agricultural technicians,314,Life science technicians and related associate professionals,31,Manufacture of furniture,C,Manufacturing
3142,Agricultural technicians,314,Life science technicians and related associate professionals,31,Equipment for working at heights,3,Equipment
3142,Agricultural technicians,314,Life science technicians and related associate professionals,31,Equipment for working at heights,3,Technicians and associate professionals
3142,Agricultural technicians,314,Life science technicians and related associate professionals,31,Science and engineering associate professionals,3,Equipment
3142,Agricultural technicians,314,Life science technicians and related associate professionals,31,Science and engineering associate professionals,3,Technicians and associate professionals
7127,Air conditioning and refrigeration mechanics,712,Technical testing and analysis,71,Architectural and engineering activities; technical testing and analysis,M,"Professional, scientific and technical activities"
7127,Air conditioning and refrigeration mechanics,712,Technical testing and analysis,71,"Building and related trades workers, excluding electricians",7,Craft and related trades workers
7127,Air conditioning and refrigeration mechanics,712,Building finishers and related trades workers,71,Architectural and engineering activities; technical testing and analysis,M,"Professional, scientific and technical activities"
7127,Air conditioning and refrigeration mechanics,712,Building finishers and related trades workers,71,"Building and related trades workers, excluding electricians",7,Craft and related trades workers
3155,Air traffic safety electronics technicians,315,Ship and aircraft controllers and technicians,31,Manufacture of furniture,C,Manufacturing
3155,Air traffic safety electronics technicians,315,Ship and aircraft controllers and technicians,31,Equipment for working at heights,3,Equipment
3155,Air traffic safety electronics technicians,315,Ship and aircraft controllers and technicians,31,Equipment for working at heights,3,Technicians and associate professionals
3155,Air traffic safety electronics technicians,315,Ship and aircraft controllers and technicians,31,Science and engineering associate professionals,3,Equipment
3155,Air traffic safety electronics technicians,315,Ship and aircraft controllers and technicians,31,Science and engineering associate professionals,3,Technicians and associate professionals
7232,Aircraft engine mechanics and repairers,723,Machinery mechanics and repairers,72,"Metal, machinery and related trades workers",7,Craft and related trades workers
7232,Aircraft engine mechanics and repairers,723,Machinery mechanics and repairers,72,Scientific research and development,M,"Professional, scientific and technical activities"
3153,Aircraft pilots and related associate professionals,315,Ship and aircraft controllers and technicians,31,Manufacture of furniture,C,Manufacturing
3153,Aircraft pilots and related associate professionals,315,Ship and aircraft controllers and technicians,31,Equipment for working at heights,3,Equipment
3153,Aircraft pilots and related associate professionals,315,Ship and aircraft controllers and technicians,31,Equipment for working at heights,3,Technicians and associate professionals
3153,Aircraft pilots and related associate professionals,315,Ship and aircraft controllers and technicians,31,Science and engineering associate professionals,3,Equipment
3153,Aircraft pilots and related associate professionals,315,Ship and aircraft controllers and technicians,31,Science and engineering associate professionals,3,Technicians and associate professionals
6123,Apiarists and sericulturists,612,Wireless telecommunications activities,61,Market-oriented skilled agricultural workers,6,"Skilled agricultural, forestry and fishery workers"
6123,Apiarists and sericulturists,612,Wireless telecommunications activities,61,Telecommunications,J,Information and communication
6123,Apiarists and sericulturists,612,Animal producers,61,Market-oriented skilled agricultural workers,6,"Skilled agricultural, forestry and fishery workers"
6123,Apiarists and sericulturists,612,Animal producers,61,Telecommunications,J,Information and communication
6221,Aquaculture workers,622,"Fishery workers, hunters and trappers",62,"Computer programming, consultancy and related activities",J,Information and communication
6221,Aquaculture workers,622,"Fishery workers, hunters and trappers",62,"Market-oriented skilled forestry, fishery and hunting workers",6,"Skilled agricultural, forestry and fishery workers"
0310,"Armed forces occupations, other ranks",031,"Armed forces occupations, other ranks",3,"Armed forces occupations, other ranks",0,Armed forces occupations
0310,"Armed forces occupations, other ranks",031,"Armed forces occupations, other ranks",03,Fishing and aquaculture,A,"Agriculture, forestry and fishing"
0310,"Armed forces occupations, other ranks",031,Fishing,03,Fishing and aquaculture,A,"Agriculture, forestry and fishing"
5161,"Astrologers, fortune-tellers and related workers",516,Other personal services workers,51,Air transport,"H ",Transportation and storage
5161,"Astrologers, fortune-tellers and related workers",516,Other personal services workers,51,Personal Services,5,Service and sales workers
3421,Athletes and sports players,342,Sports and fitness workers,34,"Legal, social, cultural and related associate professionals",3,Equipment
3421,Athletes and sports players,342,Sports and fitness workers,34,"Legal, social, cultural and related associate professionals",3,Technicians and associate professionals
7512,"Bakers, pastry-cooks and confectionery makers",751,Food processing and related trades workers,75,"Food processing, wood working, garment and other craft and related trades workers",7,Craft and related trades workers
7512,"Bakers, pastry-cooks and confectionery makers",751,Food processing and related trades workers,75,Veterinary activities,M,"Professional, scientific and technical activities"
4211,Bank tellers and related clerks,421,"Tellers, money collectors and related clerks",42,Customer services clerks,4,Clerical support workers
4211,Bank tellers and related clerks,421,"Tellers, money collectors and related clerks",42,Civil engineering,F,Construction
4211,Bank tellers and related clerks,421,Construction of roads and railways,42,Customer services clerks,4,Clerical support workers
4211,Bank tellers and related clerks,421,Construction of roads and railways,42,Civil engineering,F,Construction
5132,Bartenders,513,Waiters and bartenders,51,Air transport,"H ",Transportation and storage
5132,Bartenders,513,Waiters and bartenders,51,Personal Services,5,Service and sales workers
5142,Beauticians and related workers,514,"Hairdressers, beauticians and related workers",51,Air transport,"H ",Transportation and storage
5142,Beauticians and related workers,514,"Hairdressers, beauticians and related workers",51,Personal Services,5,Service and sales workers
7234,Bicycle and related repairers,723,Machinery mechanics and repairers,72,"Metal, machinery and related trades workers",7,Craft and related trades workers
7234,Bicycle and related repairers,723,Machinery mechanics and repairers,72,Scientific research and development,M,"Professional, scientific and technical activities"
2131,"Biologists, botanists, zoologists and related professionals",213,Life science professionals,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,C,Manufacturing
